year,name,location,address,city,state,country,material,size,style,image,key_name,lat,lon,geolink,visible,iframe,table,has_image,comissions,notes
1973,Bullet Proof Campus Art,University of Denver,Penrose Library,Denver,CO,USA,Steel,15 Feet,planar,bullet_proof_campus_art,bullet-proof-campus-art,39.677541,-104.962309,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Penrose+Library,+Denver,+CO&sll=39.676426,-104.962177&sspn=0.009331,0.016522&gl=us&ie=UTF8&hq=Penrose+Library,&hnear=Denver,+Colorado&ll=39.677584,-104.962191&spn=0.001123,0.002065&t=h&z=19",y,"<iframe width=""425"" height=""350"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.com/maps?hl=en&amp;gl=us&amp;ie=UTF8&amp;ll=39.677522,-104.962362&amp;spn=0.00116,0.002014&amp;t=h&amp;z=19&amp;output=embed""></iframe><br /><small><a href=""http://maps.google.com/maps?hl=en&amp;gl=us&amp;ie=UTF8&amp;ll=39.677522,-104.962362&amp;spn=0.00116,0.002014&amp;t=h&amp;z=19&amp;source=embed"" style=""color:#0000FF;text-align:left"">View Larger Map</a></small>",,y,commission,http://www.scribd.com/doc/16975838/Summer-2009-University-of-Denver-Magazine
1986,Calligraphic Loop,Cadillac Fairview Association,???,Fairfax,VA,USA,Aluminum,6 Feet,planar,,calligraphic-loop,,,,n,,,n,commission,white
1986,Calligraphic Mobius,Crystal City,U.S. Patent and Trademark Office,Arlington,VA,USA,Aluminum,20 feet,planar,calligraphic_mobius,calligraphic-mobius,38.854714,-77.04919,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Crystal+City+Shops,+Arlington,+VA&sll=37.0625,-95.677068&sspn=39.099308,73.916016&ie=UTF8&hq=Crystal+City+Shops,&hnear=Arlington,+Virginia&ll=38.854614,-77.049398&spn=0.000562,0.001128&t=h&z=20&layer=c&cbll=38.854758,-77.049388&panoid=PJp7H4R1UKoAFNrK0f0tGw&cbp=12,94.16,,0,5.54",y,"<iframe width=""425"" height=""350"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.com/maps?f=q&amp;source=embed&amp;hl=en&amp;geocode=&amp;q=Crystal+City+Shops,+Arlington,+VA&amp;sll=37.0625,-95.677068&amp;sspn=39.099308,73.916016&amp;ie=UTF8&amp;hq=Crystal+City+Shops,&amp;hnear=Arlington,+Virginia&amp;t=h&amp;layer=c&amp;cbll=38.854761,-77.049387&amp;panoid=PJp7H4R1UKoAFNrK0f0tGw&amp;cbp=12,94.16,,0,5.54&amp;ll=38.854614,-77.049398&amp;spn=0.000562,0.001128&amp;output=svembed""></iframe><br /><small><a href=""http://maps.google.com/maps?f=q&amp;source=embed&amp;hl=en&amp;geocode=&amp;q=Crystal+City+Shops,+Arlington,+VA&amp;sll=37.0625,-95.677068&amp;sspn=39.099308,73.916016&amp;ie=UTF8&amp;hq=Crystal+City+Shops,&amp;hnear=Arlington,+Virginia&amp;t=h&amp;layer=c&amp;cbll=38.854761,-77.049387&amp;panoid=PJp7H4R1UKoAFNrK0f0tGw&amp;cbp=12,94.16,,0,5.54&amp;ll=38.854614,-77.049398&amp;spn=0.000562,0.001128"" style=""color:#0000FF;text-align:left"">View Larger Map</a></small>",y,y,commission
1973,Cantata,Security Pacific Bank,,Los Angeles,CA,USA,Brass,32 Feet,ribbed,cantata,cantata,34.053477,-118.253049,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=333+South+Hope+Street+Los+Angeles&sll=34.101598,-118.329293&sspn=0.001202,0.001988&ie=UTF8&hq=&hnear=333+S+Hope+St,+Los+Angeles,+California+90071&ll=34.053233,-118.253011&spn=0.002516,0.003975&t=h&z=18",n,"<iframe width=""425"" height=""350"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.com/maps?f=q&amp;source=s_q&amp;hl=en&amp;geocode=&amp;q=333+South+Hope+Street+Los+Angeles&amp;sll=34.101598,-118.329293&amp;sspn=0.001202,0.001988&amp;ie=UTF8&amp;hq=&amp;hnear=333+S+Hope+St,+Los+Angeles,+California+90071&amp;ll=34.053389,-118.253473&amp;spn=0.002516,0.003975&amp;t=h&amp;z=14&amp;output=embed""></iframe><br /><small><a href=""http://maps.google.com/maps?f=q&amp;source=embed&amp;hl=en&amp;geocode=&amp;q=333+South+Hope+Street+Los+Angeles&amp;sll=34.101598,-118.329293&amp;sspn=0.001202,0.001988&amp;ie=UTF8&amp;hq=&amp;hnear=333+S+Hope+St,+Los+Angeles,+California+90071&amp;ll=34.053389,-118.253473&amp;spn=0.002516,0.003975&amp;t=h&amp;z=14"" style=""color:#0000FF;text-align:left"">View Larger Map</a></small>",,y,commission,removed
1978,Cassini,Civic Arts Complex,"Karralyka Centre, Mines Rd, Ringwood VIC 3134",Ringwood,,Australia,Steel,16 feet,planar,Cassini,cassini,-37.808634,145.24303,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Karralyka+Centre,+Ringwood,+Victoria,+Australia&sll=-37.823887,145.17746&sspn=0.296683,0.528717&ie=UTF8&hq=Karralyka+Centre,&hnear=Ringwood+Victoria,+Australia&ll=-37.808657,145.24303&spn=0.000557,0.001033&t=h&z=20",y,"<iframe width=""425"" height=""350"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.com/maps?f=q&amp;source=s_q&amp;hl=en&amp;geocode=&amp;q=Karralyka+Centre,+Ringwood,+Victoria,+Australia&amp;sll=-37.823887,145.17746&amp;sspn=0.296683,0.528717&amp;ie=UTF8&amp;hq=Karralyka+Centre,&amp;hnear=Ringwood+Victoria,+Australia&amp;t=k&amp;ll=-37.808657,145.24303&amp;spn=0.000557,0.001033&amp;output=embed""></iframe><br /><small><a href=""http://maps.google.com/maps?f=q&amp;source=embed&amp;hl=en&amp;geocode=&amp;q=Karralyka+Centre,+Ringwood,+Victoria,+Australia&amp;sll=-37.823887,145.17746&amp;sspn=0.296683,0.528717&amp;ie=UTF8&amp;hq=Karralyka+Centre,&amp;hnear=Ringwood+Victoria,+Australia&amp;t=k&amp;ll=-37.808657,145.24303&amp;spn=0.000557,0.001033"" style=""color:#0000FF;text-align:left"">View Larger Map</a></small>",y,y,commission
1976,Cassini,Homart Corporation,Beacon Harbor Parkway in East Moline,Northbrook,IL,USA,Steel,20 feet,planar,,cassini-il,41.524387,-90.443401,"http://maps.google.com/maps?ll=41.524387,-90.443401&spn=0.000948,0.004238&t=h&z=18&lci=com.panoramio.all&layer=c&cbll=41.524387,-90.443401&cbp=12,0,,0,5&photoid=po-31641378",y,,,y,commission,http://gallery.pictopia.com/qctimes/photo/3453685/#
1968,Cassini,Mr. Rufus Stillman,,Torrington,CT,USA,Marble,6 Feet,solid,cassini_marble,cassini-marble,,,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=torrington&sll=37.0625,-95.677068&sspn=38.008397,69.960938&ie=UTF8&hq=&hnear=Torrington,+Litchfield,+Connecticut&ll=41.829649,-73.104465&spn=0.008746,0.01708&z=16",n,,,?,commission
2010,Cassini,Mende Residence,,Hamilton Island,Great Barrier Reef,Australia,Aluminum,4 Feet,planar,,cassini-mende,,,,,,,???,collector
1975,Cassini,Perry Residence,,Norwalk,CT,USA,Steel,4 feet,planar,CassiniP,cassini-perry,,,,,,y,?,collector
1970,Cassini,University of Michigan <br> Museum of Art,Alumni Memorial Hall 525 South State Street,Ann Arbor,MI,USA,Plexiglas,1 foot,solid,cassini_plexiglass,cassini-plexiglas,42.275408,-83.739896,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=525+South+State+Street,+Ann+Arbor,+MI&sll=37.0625,-95.677068&sspn=37.598824,66.181641&ie=UTF8&hq=&hnear=525+S+State+St,+Ann+Arbor,+Washtenaw,+Michigan+48109&t=h&ll=42.275479,-83.739786&spn=0.001078,0.002229&z=19",n,,,,collector,"http://siris-artinventories.si.edu/ipac20/ipac.jsp?session=128H107K40777.20309&profile=ariall&source=~!siartinventories&view=subscriptionsummary&uri=full=3100001~!850~!0&ri=2&aspect=Browse&menu=search&ipp=20&spp=20&staffonly=&term=Perry,+Charles+O.,+1929-+,+sculptor.&index=AUTHOR&uindex=&aspect=Browse&menu=search&ri=2"
